budget,genres,movie_id,original_language,original_title,popularity,production_countries,release_date,revenue,runtime,spoken_languages,status,title,vote_average,vote_count
225000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",2454,en,The Chronicles of Narnia: Prince Caspian,53.978602,"[{""iso_3166_1"": ""CZ"", ""name"": ""Czech Republic""}, {""iso_3166_1"": ""PL"", ""name"": ""Poland""}, {""iso_3166_1"": ""SI"", ""name"": ""Slovenia""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/15/2008,419651413,150,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Chronicles of Narnia: Prince Caspian,6.3,1630
220000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",24428,en,The Avengers,144.448633,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/25/2012,1519557910,143,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Avengers,7.4,11776
380000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",1865,en,Pirates of the Caribbean: On Stranger Tides,135.413856,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/14/2011,1045713802,136,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Pirates of the Caribbean: On Stranger Tides,6.4,4948
225000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",41154,en,Men in Black 3,52.035179,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/23/2012,624026776,106,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Men in Black 3,6.2,4160
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",122917,en,The Hobbit: The Battle of the Five Armies,120.965743,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/10/2014,956019788,144,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Hobbit: The Battle of the Five Armies,7.1,4760
215000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",1930,en,The Amazing Spider-Man,89.866276,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/27/2012,752215857,136,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Amazing Spider-Man,6.5,6586
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",20662,en,Robin Hood,37.668301,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/12/2010,310669540,140,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}]",Released,Robin Hood,6.2,1398
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",57158,en,The Hobbit: The Desolation of Smaug,94.370564,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/11/2013,958400000,161,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Hobbit: The Desolation of Smaug,7.6,4524
180000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2268,en,The Golden Compass,42.990906,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/4/2007,372234864,113,"[{""iso_639_1"": ""is"", ""name"": ""\u00cdslenska""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,The Golden Compass,5.8,1303
207000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",254,en,King Kong,61.22601,"[{""iso_3166_1"": ""NZ"", ""name"": ""New Zealand""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""DE"", ""name"": ""Germany""}]",12/14/2005,550000000,187,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,King Kong,6.6,2337
200000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",597,en,Titanic,100.025899,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/18/1997,1845034188,194,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""sv"", ""name"": ""svenska""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Titanic,7.5,7562
250000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",271110,en,Captain America: Civil War,198.372395,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/27/2016,1153304495,147,"[{""iso_639_1"": ""ro"", ""name"": ""Rom\u00e2n\u0103""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Captain America: Civil War,7.1,7241
209000000,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",44833,en,Battleship,64.928382,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/11/2012,303025485,131,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""th"", ""name"": ""\u0e20\u0e32\u0e29\u0e32\u0e44\u0e17\u0e22""}]",Released,Battleship,5.5,2114
150000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",135397,en,Jurassic World,418.708552,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/9/2015,1513528810,124,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Jurassic World,6.5,8662
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",37724,en,Skyfall,93.004993,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10/25/2012,1108561013,143,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Skyfall,6.9,7604
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",558,en,Spider-Man 2,35.149586,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/25/2004,783766341,127,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Released,Spider-Man 2,6.7,4321
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",68721,en,Iron Man 3,77.68208,"[{""iso_3166_1"": ""CN"", ""name"": ""China""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/18/2013,1215439994,130,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Iron Man 3,6.8,8806
200000000,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",12155,en,Alice in Wonderland,78.530105,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",3/3/2010,1025491110,108,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Alice in Wonderland,6.4,4645
210000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",36668,en,X-Men: The Last Stand,3.857526,"[{""iso_3166_1"": ""CA"", ""name"": ""Canada""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/24/2006,459359555,104,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,X-Men: The Last Stand,6.3,3525
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",62211,en,Monsters University,89.186492,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/20/2013,743559607,104,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Monsters University,7,3528
150000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",8373,en,Transformers: Revenge of the Fallen,21.939663,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/19/2009,836297228,150,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Transformers: Revenge of the Fallen,6,3138
210000000,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",91314,en,Transformers: Age of Extinction,116.840296,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/25/2014,1091405097,165,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Transformers: Age of Extinction,5.8,3095
200000000,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",68728,en,Oz: The Great and Powerful,46.985445,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",3/7/2013,491868548,130,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Oz: The Great and Powerful,5.7,3530
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",102382,en,The Amazing Spider-Man 2,89.270217,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/16/2014,705717432,142,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Amazing Spider-Man 2,6.5,4179
170000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",20526,en,TRON: Legacy,73.79505,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/10/2010,400062763,125,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,TRON: Legacy,6.3,2841
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",49013,en,Cars 2,49.98659,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/11/2011,559852396,106,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",Released,Cars 2,5.8,2033
200000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",44912,en,Green Lantern,51.872839,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/16/2011,219851172,114,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Green Lantern,5.1,2487
200000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",10193,en,Toy Story 3,59.995418,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/16/2010,1066969703,103,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Released,Toy Story 3,7.6,4597
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",534,en,Terminator Salvation,71.862892,"[{""iso_3166_1"": ""DE"", ""name"": ""Germany""}, {""iso_3166_1"": ""IT"", ""name"": ""Italy""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/20/2009,371353001,115,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,Terminator Salvation,5.9,2463
190000000,"[{""id"": 28, ""name"": ""Action""}]",168259,en,Furious 7,102.322217,"[{""iso_3166_1"": ""JP"", ""name"": ""Japan""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/1/2015,1506249360,137,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Furious 7,7.3,4176
200000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",72190,en,World War Z,81.834855,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""MT"", ""name"": ""Malta""}]",6/20/2013,531865000,116,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,World War Z,6.7,5560
250000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",127585,en,X-Men: Days of Future Past,118.078691,"[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/15/2014,747862775,131,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,X-Men: Days of Future Past,7.5,6032
190000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",54138,en,Star Trek Into Darkness,78.291018,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/5/2013,467365246,132,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Star Trek Into Darkness,7.4,4418
195000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",81005,en,Jack the Giant Slayer,43.349855,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2/27/2013,197687603,114,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Jack the Giant Slayer,5.5,2598
105000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",64682,en,The Great Gatsby,61.196071,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""AU"", ""name"": ""Australia""}]",5/10/2013,351040419,143,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Great Gatsby,7.3,3769
150000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10749, ""name"": ""Romance""}]",9543,en,Prince of Persia: The Sands of Time,62.169881,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/19/2010,335154643,116,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Prince of Persia: The Sands of Time,6.2,2317
180000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",68726,en,Pacific Rim,56.523205,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CA"", ""name"": ""Canada""}]",7/11/2013,407602906,131,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Pacific Rim,6.7,4794
195000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",38356,en,Transformers: Dark of the Moon,28.529607,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/28/2011,1123746996,154,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Transformers: Dark of the Moon,6.1,3299
185000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",217,en,Indiana Jones and the Kingdom of the Crystal Skull,75.674458,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/21/2008,786636033,122,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
175000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",105864,en,The Good Dinosaur,51.692953,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/14/2015,331926147,93,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,The Good Dinosaur,6.6,1736
185000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",62177,en,Brave,125.114374,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/21/2012,538983207,93,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Brave,6.7,4641
185000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",188927,en,Star Trek Beyond,65.352913,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",7/7/2016,343471816,122,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Star Trek Beyond,6.6,2568
180000000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",10681,en,WALL·E,66.390712,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",6/22/2008,521311860,98,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,WALL·E,7.8,6296
140000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",5174,en,Rush Hour 3,22.57178,"[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",8/8/2007,258022233,91,"[{""iso_639_1"": ""la"", ""name"": ""Latin""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""ja"", ""name"": ""\u65e5\u672c\u8a9e""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Released,Rush Hour 3,6.1,783
